agent_name,$/Sq. Ft.,On Redfin,HOA,Year Built,Status
,,1 day,None,,Active
,$175,1 day,None,1956,Active
,$264,1 day,None,1920,Active
,$200,1 day,None,1938,Active
,,1 day,$632/month,1963,Active
,$213,1 day,"$1,409/month",1916,Active
,,1 day,None,1956,Active
,$617,1 day,"$6,201/month",1929,Active
,$249,1 day,$201/month,,Active
,,1 day,None,1920,Active
,$262,1 day,None,1954,Active
,$186,1 day,None,1946,Active
,$156,1 day,None,1969,Active
,,1 day,None,1900,Active
,$114,1 day,None,1917,Active
,$157,1 day,$426/month,1968,Active
,$260,1 day,$986/month,1968,Active
,$454,1 day,"$1,347/month",1988,Active
,,1 day,None,1911,Active
,$272,1 day,"$1,514/month",1963,Active
,,1 day,None,1924,Active
,,1 day,$514/month,1924,Active
,$182,1 day,None,1921,Active
,,1 day,None,1910,Active
,$403,1 day,$533/month,2009,Active
,$416,1 day,"$1,258/month",2005,Active
,$292,1 day,None,1948,Active
,$344,1 day,$797/month,2000,Active
,$259,1 day,None,1947,Active
,,1 day,None,2024,Active
,,1 day,None,1958,Active
,,1 day,$696/month,1973,Active
,$340,1 day,None,1931,Active
,$227,1 day,$735/month,1955,Active
,$188,1 day,None,1951,Active
,,1 day,$312/month,2002,Active
,,1 day,None,1912,Active
,$309,1 day,"$1,530/month",1972,Active
,,1 day,$265/month,1931,Active
,,1 day,$623/month,1912,Active
,$353,1 day,$402/month,,Active
,$329,1 day,None,1943,Active
,$151,1 day,$495/month,,Active
,,1 day,$223/month,1895,Active
,$413,1 day,$541/month,1982,Active
,,1 day,$64/month,1991,Active
,,1 day,None,1907,Active
,$170,1 day,None,1956,Active
,$146,1 day,None,1929,Active
,$289,1 day,$629/month,1920,Active
,$213,1 day,None,1949,Active
,$250,1 day,$545/month,2008,Active
,$165,1 day,None,1908,Active
,$253,1 day,$529/month,1998,Active
,$363,1 day,None,1954,Active
,,1 day,None,1989,Active
,,1 day,None,1895,Active
,$574,1 day,$954/month,1971,Active
,,1 day,$375/month,,Active
,$206,1 day,$617/month,1962,Active
,$331,1 day,None,1893,Active
,$388,1 day,$217/month,2024,Active
,$444,1 day,$231/month,2024,Active
,$270,1 day,$264/month,2024,Active
,$290,1 day,$234/month,2006,Active
,,1 day,$227/month,2003,Active
,$199,1 day,None,1962,Active
,$344,1 day,$553/month,1980,Active
