address,location,price,beds,baths,Sq.Ft,$/Sq.Ft,on_redfin,scrap_date
6242 S Maplewood Ave,CHI - Chicago Lawn,"$249,900",6,1,"1,472",$170,1 day,2024-09-08 22:11:04
2949 N Rutherford Ave,CHI - Montclare,"$500,000",4,3,"2,799",$179,1 day,2024-09-08 22:11:04
3200 N Lake Shore Dr #2106,CHI - Lake View,"$389,900",2,2,"1,250",$312,1 day,2024-09-08 22:11:04
3716 W Ferdinand St,CHI - Humboldt Park,"$195,000",4,2,—,—,1 day,2024-09-08 22:11:04
3519 W Medill Ave #3,CHI - Logan Square,$150,—,—,—,—,1 day,2024-09-08 22:11:04
6121 N Winthrop Ave Unit 4S,CHI - Edgewater,"$575,000",3,2,"1,700",$338,1 day,2024-09-08 22:11:04
6450 W Berteau Ave #208,CHI - Dunning,"$287,500",2,2,"1,614",$178,1 day,2024-09-08 22:11:04
5601 N Sheridan Rd Unit 6E,Statesman,"$320,000",2,2,—,—,1 day,2024-09-08 22:11:04
1001 W 15th St #326,CHI - Near West Side,"$385,000",2,2,"1,226",$314,1 day,2024-09-08 22:11:05
3647 S Rockwell Ave,CHI - Brighton Park,"$399,500",5,1.5,"1,075",$372,1 day,2024-09-08 22:11:05
1939 W Granville Ave #1,CHI - West Ridge,"$214,000",2,2,—,—,1 day,2024-09-08 22:11:05
9745 S Karlov Ave #103,Oak Lawn,"$109,999",1,1,800,$137,1 day,2024-09-08 22:11:05
3775 W Pippin St,CHI - Ashburn,"$225,000",3,1,"1,120",$201,1 day,2024-09-08 22:11:05
3335 S Racine Ave,CHI - Bridgeport,"$989,000",5,3.5,"3,500",$283,1 day,2024-09-08 22:11:05
7945 S Prairie Ave,CHI - Chatham,"$339,000",6,2,—,—,1 day,2024-09-08 22:11:05
1913 W Addison St #2,CHI - North Center,"$1,350,000",5,3,—,—,1 day,2024-09-08 22:11:05
925 W 53rd St,CHI - New City,"$99,000",5,2,"3,000",$33,1 day,2024-09-08 22:11:05
1913 W Addison St Unit 1F,CHI - North Center,"$900,000",4,3,—,—,1 day,2024-09-08 22:11:05
2354 W Farragut Ave #301,CHI - Lincoln Square,"$799,900",4,3,"2,200",$364,1 day,2024-09-08 22:11:06
10156 S Oakley Ave S,CHI - Beverly,"$500,000",3,1.5,"2,700",$185,1 day,2024-09-08 22:11:06
8533 S Kenneth Ave,CHI - Ashburn,"$409,990",5,2.5,"2,470",$166,1 day,2024-09-08 22:11:06
525 W Hawthorne Pl #1002,CHI - Lake View,"$225,000",2,1,—,—,1 day,2024-09-08 22:11:06
1600 S Prairie Ave #2304,CHI - Near South Side,"$1,090,000",3,3,—,—,1 day,2024-09-08 22:11:36
8059 S Indiana Ave,CHI - Chatham,"$425,000",5,3,"2,605",$163,1 day,2024-09-08 22:11:37
2020 N Dayton St,CHI - Lincoln Park,"$3,150,000",6,5.5,"5,200",$606,1 day,2024-09-08 22:11:07
2800 N Lake Shore Dr #308,CHI - Lake View,"$285,500",1,1,900,$317,1 day,2024-09-08 22:11:07
5627 N Kedvale Ave,CHI - North Park,"$699,999",6,5,"2,400",$292,1 day,2024-09-08 22:11:07
7007 Lorel Ave,Kingston Estates,"$485,000",3,3,"2,400",$202,1 day,2024-09-08 22:11:07
2245 W Morse Ave,CHI - West Ridge,"$625,000",5,3,—,—,1 day,2024-09-08 22:11:07
9927 S Clyde Ave S,CHI - South Deering,"$125,000",2,1,807,$155,1 day,2024-09-08 22:11:07
4336 N Troy St,CHI - Irving Park,"$1,050,000",6,3.5,"3,900",$269,1 day,2024-09-08 22:11:07
11354 S Calumet Ave,CHI - Roseland,"$77,990",4,1.5,"1,609",$48,1 day,2024-09-08 22:11:07
8634 S Carpenter St,CHI - Auburn Gresham,"$99,900",4,2,"1,200",$83,1 day,2024-09-08 22:11:07
7919 S Kenneth Ave,CHI - Ashburn,"$360,000",5,1.5,"1,588",$227,1 day,2024-09-08 22:11:07
5032 N Mcvicker Ave,Jefferson Park Place,"$469,000",3,2,"1,960",$239,1 day,2024-09-08 22:11:08
6436 W Dakin St,CHI - Dunning,"$750,000",4,5,—,—,1 day,2024-09-08 22:11:08
111 E Chestnut St Unit 23B,CHI - Near North Side,"$275,000",0,1,600,$458,35 hrs,2024-09-08 22:11:08
9630 S La Salle St,CHI - Roseland,"$299,900",5,3.5,"1,300",$231,35 hrs,2024-09-08 22:11:08
12326 S Elizabeth St,Calumet Park,"$250,000",3,2,"1,108",$226,35 hrs,2024-09-08 22:11:08
9607 S La Salle St,CHI - Roseland,"$315,000",4,4,"2,200",$143,34 hrs,2024-09-08 22:11:08
1236 W Diversey Pkwy,CHI - Lake View,"$1,150,000",3,2,"2,300",$500,30 hrs,2024-09-08 22:11:08
418 W 117th St,CHI - West Pullman,"$115,000",3,1,900,$128,26 hrs,2024-09-08 22:11:08
9617 S Genoa Ave,CHI - Washington Heights,"$299,900",6,2,"2,112",$142,26 hrs,2024-09-08 22:11:08
830 W Roscoe St #4,CHI - Lake View,"$550,000",2,2,—,—,25 hrs,2024-09-08 22:11:08
11807 S Peoria St,CHI - West Pullman,"$130,000",3,1,"1,238",$105,24 hrs,2024-09-08 22:11:09
9202 S Parnell Ave,CHI - Washington Heights,"$285,000",4,2,"1,332",$214,24 hrs,2024-09-08 22:11:09
505 N Mcclurg Ct #3705,Parkview Condominiums,"$760,000",2,2,"1,368",$556,24 hrs,2024-09-08 22:11:09
4278 N Marine Dr,CHI - Uptown,"$849,900",3,2.5,"2,400",$354,23 hrs,2024-09-08 22:11:09
314 W 106th Pl,CHI - Roseland,"$125,000",3,1,"1,040",$120,23 hrs,2024-09-08 22:11:09
5525 W Drummond Pl,CHI - Belmont Cragin,"$485,999",4,3,"1,600",$304,23 hrs,2024-09-08 22:11:09
8237 S Fairfield Ave,CHI - Ashburn,"$466,000",5,3,"2,640",$177,23 hrs,2024-09-08 22:11:09
6701 N Milwaukee Ave #403,Bunker Hill,"$289,900",2,2,"1,295",$224,23 hrs,2024-09-08 22:11:09
10812 S Longwood Dr,CHI - Morgan Park,"$814,900",5,3,"6,721",$121,23 hrs,2024-09-08 22:11:09
1122 W Armitage Ave Unit P7,CHI - Lincoln Park,$100,—,—,—,—,23 hrs,2024-09-08 22:11:09
1600 N New England Ave #4,CHI - Austin,"$475,000",2,2,"1,710",$278,22 hrs,2024-09-08 22:11:10
1621 S Lawndale Ave,CHI - North Lawndale,"$366,000",15,6,—,—,21 hrs,2024-09-08 22:11:10
4910 W Van Buren St,CHI - Austin,"$350,000",6,3,—,—,21 hrs,2024-09-08 22:11:10
2248 W 80th St,CHI - Ashburn,"$340,000",6,2.5,"1,235",$275,21 hrs,2024-09-08 22:11:10
340 E Randolph St E #1106,CHI - Loop,"$555,000",1,1.5,"1,244",$446,21 hrs,2024-09-08 22:11:10
1242 W Winnemac Ave,-,"$1,200,000",12,5,—,—,21 hrs,2024-09-08 22:11:10
4426 N Greenview Ave,CHI - Uptown,"$1,550,000",4,3.5,"2,500",$620,21 hrs,2024-09-08 22:11:10
6445 S Long Ave,CHI - Clearing,"$250,000",2,2,843,$297,21 hrs,2024-09-08 22:11:10
6833 N Kedzie Ave #205,Winston Towers,"$140,000",1,1,950,$147,21 hrs,2024-09-08 22:11:41
7148 S Cornell Ave,CHI - South Shore,"$469,000",6,4.5,—,—,20 hrs,2024-09-08 22:11:42
7958 S Lowe Ave,CHI - Auburn Gresham,"$235,000",3,2,950,$247,20 hrs,2024-09-08 22:11:12
234 W Polk St #2506,CHI - Loop,"$500,000",1,1,740,$676,20 hrs,2024-09-08 22:11:12
234 W Polk St #2301,CHI - Loop,"$700,000",2,2,"1,310",$534,20 hrs,2024-09-08 22:11:12
234 W Polk St #2412,CHI - Loop,"$750,000",2,2,"1,165",$644,19 hrs,2024-09-08 22:11:12
234 W Polk St #2810,CHI - Loop,"$700,000",2,2,"1,085",$645,19 hrs,2024-09-08 22:11:12
2808 E 93rd St,CHI - Calumet Heights,"$85,000",3,1,660,$129,19 hrs,2024-09-08 22:11:12
720 W Gordon Ter Unit 20C,CHI - Uptown,"$319,000",2,2,"1,150",$277,18 hrs,2024-09-08 22:11:12
1525 N Claremont Ave Unit 1A,CHI - West Town,"$385,000",2,2,—,—,18 hrs,2024-09-08 22:11:12
88 W Schiller St Unit 1204L,CHI - Near North Side,"$385,000",2,1,850,$453,17 hrs,2024-09-08 22:11:12
342 N Austin Blvd #3,Oak Park,"$199,000",2,1,"1,150",$173,17 hrs,2024-09-08 22:11:12
1655 S Ridgeway Ave,CHI - North Lawndale,"$250,000",9,3,—,—,17 hrs,2024-09-08 22:11:13
6200 N Claremont Ave #2,CHI - West Ridge,"$229,000",2,2,"1,168",$196,16 hrs,2024-09-08 22:11:13
10805 S Pulaski Rd #4,CHI - Mount Greenwood,"$160,000",2,1,—,—,16 hrs,2024-09-08 22:11:13
11624 S Church St,CHI - Morgan Park,"$210,000",4,1,"1,496",$140,14 hrs,2024-09-08 22:11:13
228 N Leclaire Ave,CHI - Austin,"$599,999",7,3,—,—,13 hrs,2024-09-08 22:11:13
6741 N Oketo Ave,CHI - Edison Park,"$479,900",3,1.5,"1,517",$316,13 hrs,2024-09-08 22:11:13
6415 S Kilpatrick Ave,CHI - Clearing,"$235,000",3,1,"1,039",$226,13 hrs,2024-09-08 22:11:13
6831 S Oakley Ave,CHI - Chicago Lawn,"$287,900",4,2,"1,796",$160,13 hrs,2024-09-08 22:11:13
1700 E 56th St #2201,CHI - Hyde Park,"$425,000",3,3,"1,600",$266,12 hrs,2024-09-08 22:11:13
5413 S Mulligan Ave,CHI - Garfield Ridge,"$475,000",5,3.5,"2,800",$170,12 hrs,2024-09-08 22:11:14
5300 S Wabash Ave,CHI - Washington Park,"$799,900",8,3,—,—,12 hrs,2024-09-08 22:11:14
7141 S Greenwood Ave,CHI - Greater Grand Crossing,"$209,900",4,2,—,—,12 hrs,2024-09-08 22:11:14
345 N Lasalle Blvd #608,CHI - Near North Side,"$315,000",1,1,—,—,11 hrs,2024-09-08 22:11:14
6257 S Newland Ave Unit 2N,CHI - Clearing,"$237,900",2,2,"1,170",$203,8 hrs,2024-09-08 22:11:14
8134 S King Dr,CHI - Chatham,"$75,000",2,1,"1,200",$63,8 hrs,2024-09-08 22:11:14
7217 S Hermitage Ave,CHI - Englewood,"$270,000",4,2,"2,650",$102,8 hrs,2024-09-08 22:11:14
6901 S Oglesby Ave Unit 3A,CHI - South Shore,"$255,000",3,3,"2,600",$98,42 mins,2024-09-08 22:11:14
6819 S Dorchester Ave,CHI - South Shore,"$267,400",5,2,—,—,12 mins,2024-09-08 22:11:14
