streetLine,price,hoa,sqFt,pricePerSqFt,lotSize,beds,baths,city,state,zip,postalCode,countryCode,yearBuilt,propertyType,latitude,longitude
9609 Mirandy Dr,454000,,1344,338,6512,3,2.0,Sacramento,CA,95827,95827,US,1979,SingleFamilyResidence,38.5484598,-121.3393834
1021 Silvano St,389999,,1200,325,3484,3,1.0,Sacramento,CA,95838,95838,US,1963,SingleFamilyResidence,38.6312714,-121.4429936
1456 Carp Way,682990,178,2391,286,6809,4,3.0,Sacramento,CA,95832,95832,US,,SingleFamilyResidence,38.4620276,-121.4987414
3536 Cypress St,319900,,1057,303,4792,3,1.0,Sacramento,CA,95838,95838,US,1965,SingleFamilyResidence,38.6327802,-121.4446758
7509 Williwaw Ln,445000,,1685,264,4026,4,2.5,Sacramento,CA,95828,95828,US,2005,SingleFamilyResidence,38.4844847,-121.4222644
8200 Exbourne Cir,515000,,2187,235,6939,4,3.0,Sacramento,CA,95828,95828,US,1990,SingleFamilyResidence,38.4593501,-121.3852824
425 Camelia River Way,799990,,2558,313,8999,4,2.5,Sacramento,CA,95831,95831,US,1983,SingleFamilyResidence,38.4969817,-121.5461026
8232 Cashel Way,549900,,1284,428,5319,3,2.0,Sacramento,CA,95829,95829,US,1989,SingleFamilyResidence,38.4604071,-121.359733
2113 Catskill Way,385999,,1036,373,6534,3,1.0,Sacramento,CA,95838,95838,US,1959,SingleFamilyResidence,38.6299805,-121.4174836
7336 Sylmar,87900,,792,111,,2,2.0,Sacramento,CA,95842,95842,US,1977,SingleFamilyResidence,38.7008457,-121.3266883
1874 N Acari Ave,535000,,1492,359,3741,3,2.0,Sacramento,CA,95835,95835,US,2004,SingleFamilyResidence,38.6832086,-121.5034155
5101 H St,769000,,1329,579,6220,3,1.0,Sacramento,CA,95819,95819,US,1941,SingleFamilyResidence,38.5692479,-121.4404174
7931 Hanford Way,450000,,1318,341,6098,4,2.0,Sacramento,CA,95823,95823,US,1971,SingleFamilyResidence,38.4698482,-121.4284009
1014 P St #3,399000,405,730,547,,2,1.0,Sacramento,CA,95814,95814,US,1984,SingleFamilyResidence,38.5732554,-121.49559
3937 Huron St,270000,,891,303,6098,2,1.0,Sacramento,CA,95838,95838,US,1950,SingleFamilyResidence,38.6397349,-121.4341792
4230 Bellwether Way,850000,89,3104,274,5650,5,3.0,Sacramento,CA,95835,95835,US,,SingleFamilyResidence,38.6839752,-121.5563624
928 Lampasas Ave,295000,,864,341,5227,2,1.0,Sacramento,CA,95815,95815,US,1920,SingleFamilyResidence,38.6140475,-121.4458584
3309 1st Ave,1299999,,3978,327,6098,8,1.0,Sacramento,CA,95817,95817,US,1950,Accommodation,38.5546211,-121.4697971
7525 Circle Pkwy,468500,,1176,398,6098,3,2.0,Sacramento,CA,95823,95823,US,1956,SingleFamilyResidence,38.4897179,-121.4412311
3929 Haywood St,369900,,1130,327,6098,4,2.0,Sacramento,CA,95838,95838,US,1940,SingleFamilyResidence,38.6394964,-121.4408411
2733 Mabry Dr,529000,40,1689,313,3498,3,2.5,Sacramento,CA,95835,95835,US,2019,SingleFamilyResidence,38.6756807,-121.5282356
1117 23rd St,599900,1,819,732,3202,2,3.0,Sacramento,CA,95816,95816,US,1981,Accommodation,38.5738514,-121.4763806
2377 Carlsbad Ave,399000,,1181,338,11326,2,1.0,Sacramento,CA,95821,95821,US,1940,SingleFamilyResidence,38.6213221,-121.4077508
1117 23rd St Unit B,299900,1,819,366,3202,1,1.5,Sacramento,CA,95816,95816,US,1981,SingleFamilyResidence,38.5738514,-121.4763806
1117 23rd St Unit A,299900,1,819,366,3202,1,1.5,Sacramento,CA,95816,95816,US,1981,SingleFamilyResidence,38.5738514,-121.4763806
203 Elmhurst Cir,350000,620,1748,200,2178,2,2.5,Sacramento,CA,95825,95825,US,1976,SingleFamilyResidence,38.5634712,-121.4153867
1116 - 1118 V St,599000,,2380,252,6534,6,2.0,Sacramento,CA,95818,95818,US,1940,Accommodation,38.5663973,-121.4972205
3208 Smithlee Dr,400000,,1050,381,6098,3,2.0,Sacramento,CA,95827,95827,US,1978,SingleFamilyResidence,38.5737546,-121.3152152
4116 Fawn Cir,465000,,1726,269,5663,3,2.0,Sacramento,CA,95823,95823,US,1983,SingleFamilyResidence,38.4708095,-121.4576918
314 Elmhurst Cir,625000,620,1748,358,2178,2,2.5,Sacramento,CA,95825,95825,US,1976,SingleFamilyResidence,38.5632176,-121.4173386
7760 Elena Marie Dr,599900,,1762,340,3920,4,3.0,Sacramento,CA,95831,95831,US,2002,SingleFamilyResidence,38.4837094,-121.5433781
3708 Jasmine St,332999,,1256,265,4792,3,2.0,Sacramento,CA,95838,95838,US,1946,SingleFamilyResidence,38.6348608,-121.4264738
5891 28th St,419000,,1110,377,6534,3,2.0,Sacramento,CA,95824,95824,US,1948,SingleFamilyResidence,38.5195425,-121.4770281
1512 - 1514 Orlando Way,399000,,1500,266,7841,4,,Sacramento,CA,95815,95815,US,1956,Accommodation,38.6117867,-121.4316322
1911 El Monte Ave,1175000,,4680,251,10019,6,4.0,Sacramento,CA,95815,95815,US,1936,Accommodation,38.6096094,-121.4552577
3525 Norris Ave,1440000,,3750,384,24394,4,1.0,Sacramento,CA,95821,95821,US,1959,Accommodation,38.6293644,-121.369552
2720 Forrest St,875000,,525,1667,20473,6,1.0,Sacramento,CA,95815,95815,US,1958,Accommodation,38.6171953,-121.4542697
8212 - 354 Weyburn Ct,450000,,1215,370,5227,3,2.0,Sacramento,CA,95828,95828,US,1986,SingleFamilyResidence,38.4729307,-121.4031582
9679 Dartwell Way,420000,131,1199,350,2348,2,2.0,Sacramento,CA,95829,95829,US,2014,SingleFamilyResidence,38.4886111,-121.3356912
640 Grand Ave,400000,,1179,339,6970,3,2.0,Sacramento,CA,95838,95838,US,1990,SingleFamilyResidence,38.6364744,-121.4506589
5722 Owl Ct,699900,,2900,241,5950,5,3.0,Elk Grove,CA,95758,95758,US,1999,SingleFamilyResidence,38.4386907,-121.4370545
4531 Freeway Cir,399000,,1106,361,10019,3,1.5,Sacramento,CA,95841,95841,US,1959,SingleFamilyResidence,38.6580445,-121.3570837
4236 Bellwether Way,819000,89,2282,359,5650,4,2.5,Sacramento,CA,95835,95835,US,2023,SingleFamilyResidence,38.6838189,-121.5563464
2421 Binnen Ln,799000,128,1556,513,1346,3,3.0,Sacramento,CA,95818,95818,US,,SingleFamilyResidence,38.564621,-121.502005
2419 Binnen Ln,799000,128,1213,659,1346,2,3.0,Sacramento,CA,95818,95818,US,,Accommodation,38.5646431,-121.5019201
6860 Calvine Rd,350000,515,1442,243,1742,3,2.5,Sacramento,CA,95823,95823,US,1993,SingleFamilyResidence,38.4491554,-121.4218741
5290 I St,785000,,1341,585,6268,3,1.5,Sacramento,CA,95819,95819,US,1941,SingleFamilyResidence,38.5673278,-121.4382265
4441 62nd St,569888,,1026,555,5227,3,1.0,Sacramento,CA,95820,95820,US,1953,SingleFamilyResidence,38.5336473,-121.4325159
7138 Rimrock Dr,360000,,958,376,6970,3,1.0,Sacramento,CA,95828,95828,US,1963,SingleFamilyResidence,38.497196,-121.4194444
1155 Martinson Ct,545500,,1855,294,6000,4,3.0,Sacramento,CA,95838,95838,US,2024,SingleFamilyResidence,38.6462161,-121.4391425
1159 Martinson Ct,545500,,1855,294,6017,4,3.0,Sacramento,CA,95838,95838,US,2024,SingleFamilyResidence,38.6462203,-121.4389869
221 Odell Cir,579000,,1765,328,7889,3,2.0,Sacramento,CA,95835,95835,US,2003,SingleFamilyResidence,38.675063,-121.4972557
4800 Westlake Pkwy #2106,430500,328,1429,301,,3,2.5,Sacramento,CA,95835,95835,US,2005,SingleFamilyResidence,38.6570057,-121.5423938
3445 Delta Queen Ave,599900,,2289,262,3947,4,2.5,Sacramento,CA,95833,95833,US,2009,SingleFamilyResidence,38.6049267,-121.5418131
1623 Christopher Way,739950,,1405,527,5144,3,2.0,Sacramento,CA,95819,95819,US,1948,SingleFamilyResidence,38.5569747,-121.4406692
9284 Linda Rio Dr,557000,15,1574,354,5798,3,2.0,Sacramento,CA,95826,95826,US,1977,SingleFamilyResidence,38.5670626,-121.3539319
6964 Stanford Oak Dr,439500,,1054,417,11326,3,1.5,Sacramento,CA,95842,95842,US,1977,SingleFamilyResidence,38.6923676,-121.3271619
5984 Walerga Rd #1,205000,265,795,258,2452,3,1.0,Sacramento,CA,95842,95842,US,1969,SingleFamilyResidence,38.6765468,-121.3591604
7610 Heatherpace Dr,580000,,1778,326,3781,3,2.5,Sacramento,CA,95829,95829,US,2024,SingleFamilyResidence,38.4812006,-121.3235417
5837 Stonyford,169900,,1344,126,,3,2.0,Sacramento,CA,95842,95842,US,1972,SingleFamilyResidence,38.7010923,-121.3279836
841 E Woodside Ln #1,272500,496,962,283,2195,2,1.0,Sacramento,CA,95825,95825,US,1970,SingleFamilyResidence,38.5802112,-121.4095119
6908 Havenhurst Dr,599777,,1533,391,8276,3,2.0,Sacramento,CA,95831,95831,US,1966,SingleFamilyResidence,38.5013925,-121.5189412
550 Rodante Way,2499900,,4168,600,34412,5,4.0,Sacramento,CA,95864,95864,US,1978,SingleFamilyResidence,38.573962,-121.3770828
6917 Stillwater Way,354900,,1016,349,6098,3,1.5,Sacramento,CA,95828,95828,US,1963,SingleFamilyResidence,38.50209,-121.423967
