atlanta,https://www.redfin.com/city/30756/GA/Atlanta
austin,https://www.redfin.com/city/30818/TX/Austin
boulder,https://www.redfin.com/city/2025/CO/Boulder
colorado_springs,https://www.redfin.com/city/4147/CO/Colorado-Springs
denver,https://www.redfin.com/city/5155/CO/Denver
elk_grove,https://www.redfin.com/city/5672/CA/Elk-Grove
fort_collins,https://www.redfin.com/city/7006/CO/Fort-Collins
fresno,https://www.redfin.com/city/6904/CA/Fresno
henderson,https://www.redfin.com/city/8147/NV/Henderson
lake_tahoe,https://www.redfin.com/neighborhood/66715/CA/Truckee/Lake-Tahoe
las_vegas,https://www.redfin.com/city/10201/NV/Las-Vegas
manteca,https://www.redfin.com/city/11596/CA/Manteca
modesto,https://www.redfin.com/city/12359/CA/Modesto
philadelphia,https://www.redfin.com/city/15502/PA/Philadelphia
reno,https://www.redfin.com/city/15627/NV/Reno
sacramento,https://www.redfin.com/city/16409/CA/Sacramento
stockton,https://www.redfin.com/city/19009/CA/Stockton
tucson,https://www.redfin.com/city/19459/AZ/Tucson
virginia_beach,https://www.redfin.com/city/20418/VA/Virginia-Beach
wilmington,https://www.redfin.com/city/19583/DE/Wilmington
